"callstr","package","clazz","full_signature","internal_signature","func","is_static","file","location","parameter_types","return_type","doc"
"get(...)","java.nio.file","Paths","Path get(String p0, String[] p1)","get(String, String[])","get","true","FileUtil","file:///tmp/iris-v2/data/project-sources/bench__pt-ja-repo-001_SYNTHETIC_smoke/com/example/demo/util/FileUtil.java:13:25:13:53","String;String[]","Path",""
"readAllBytes(...)","java.nio.file","Files","byte[] readAllBytes(Path p0)","readAllBytes(Path)","readAllBytes","true","FileUtil","file:///tmp/iris-v2/data/project-sources/bench__pt-ja-repo-001_SYNTHETIC_smoke/com/example/demo/util/FileUtil.java:15:20:15:47","Path","byte[]",""
