run_id	variant_id	experiment_line	case_id	vuln_type	query_id	runner_status	observed_stage_boundary	relevant_api_calls	filtered_candidates	llm_labelled_apis	llm_sources	llm_sinks	llm_taint_propagators	original_alarms	new_alarms	num_vulnerable_paths	system_verdict	failure_reason	notes
OFFICIALSMOKE01	iris-runtime-compat-001	official_behavior	PT-JA-REPO-001	path_traversal	cwe-022wLLM	completed	stage9_completed	2	2	2	0	1	1	0	0	0	no_signal	empty_final_results	stage4_no_fixing_commits; execution_succeeded
OFFICIALSMOKE01	iris-runtime-compat-001	official_behavior	SSRF-JA-REPO-001	ssrf	cwe-918wLLM	completed	stage9_completed	2	0	0	0	0	0	0	0	0	no_signal	empty_final_results	stage4_no_fixing_commits; execution_succeeded
OFFICIALSMOKE01	iris-runtime-compat-001	official_behavior	PT-JA-REPO-CVE-2024-53677-VULN	path_traversal	cwe-022wLLM	completed	stage9_completed	129	19	4	0	0	4	0	0	0	no_signal	empty_final_results	stage4_no_fixing_commits; execution_succeeded
OFFICIALSMOKE01	iris-runtime-compat-001	official_behavior	SSRF-JA-REPO-CVE-2023-3432-VULN	ssrf	cwe-918wLLM	completed	stage9_completed	199	71	22	0	6	16	0	0	0	no_signal	empty_final_results	stage4_no_fixing_commits; execution_succeeded
OFFICIALSMOKE01	iris-runtime-compat-001	official_behavior	SSRF-JA-REPO-CVE-2023-3432-FIXED	ssrf	cwe-918wLLM	completed	stage9_completed	201	72	22	0	6	16	0	0	0	no_signal	empty_final_results	stage4_no_fixing_commits; execution_succeeded; shared_cwe_cache_reused_71_candidates
CANDSEL001	iris-capability-candsel-001	capability_candidate_selection	PT-JA-REPO-CVE-2024-53677-VULN	path_traversal	cwe-022wLLM	completed	stage9_completed	129	25	0	0	0	0	0	0	0	no_signal	empty_final_results	allowed_internal_wrappers=6; stage3_response_parse_failure; stage4_no_fixing_commits; execution_succeeded
CANDSEL001	iris-capability-candsel-001	capability_candidate_selection	SSRF-JA-REPO-CVE-2023-3432-VULN	ssrf	cwe-918wLLM	completed	stage9_completed	199	77	21	1	6	14	0	0	0	no_signal	empty_final_results	allowed_internal_wrappers=6; source_promoted_from_0_to_1; internal_surl_methods_labelled; stage4_no_fixing_commits; execution_succeeded
CANDSEL001	iris-capability-candsel-001	capability_candidate_selection	SSRF-JA-REPO-CVE-2023-3432-FIXED	ssrf	cwe-918wLLM	completed	stage9_completed	201	78	21	1	6	14	0	0	0	no_signal	empty_final_results	allowed_internal_wrappers=6; source_promoted_from_0_to_1; internal_surl_methods_labelled; shared_cwe_cache_reused_77_candidates; stage4_no_fixing_commits; execution_succeeded
