"callstr","package","clazz","full_signature","internal_signature","func","is_static","file","location","parameter_types","return_type","doc"
"new RestTemplate(...)","org.springframework.web.client","RestTemplate","RestTemplate()","RestTemplate()","RestTemplate","false","HttpUtil","file:///tmp/iris-v2/data/project-sources/bench__ssrf-ja-repo-001_SYNTHETIC_smoke/com/example/demo/util/HttpUtil.java:7:55:7:72","","void",""
"getForObject(...)","org.springframework.web.client","RestTemplate","String getForObject(String url, Class<String> responseType)","getForObject(String, Class<String>)","getForObject","false","HttpUtil","file:///tmp/iris-v2/data/project-sources/bench__ssrf-ja-repo-001_SYNTHETIC_smoke/com/example/demo/util/HttpUtil.java:11:20:11:64","String;Class<String>","String",""
